"Year","Canton","TypeofOwner","NrofOwners","TotalArea","ProductiveArea","Hardwood","Softwood","TotalSpecies"
"1980","Appenzell Innerrhoden",">>Bourgeois forest","0","0","0",NA,NA,NA
"1980","Appenzell Innerrhoden",">>Other public forest","26","1799","1595",NA,NA,NA
"1980","St. Gallen","Type of owners - Total","15403","50469","46790","459505","183754","643259"
"1980","St. Gallen","Private forest","15143","18311","18311","201995","25327","227322"
"1980","St. Gallen","Public forest","260","32158","28479","257510","158427","415937"
"1980","St. Gallen",">>Federal forest","1","57","53",NA,NA,NA
"1980","St. Gallen",">>Cantonal forest","1","2039","1794",NA,NA,NA
"1980","St. Gallen",">>Municipality forest","29","429","410",NA,NA,NA
"1980","St. Gallen",">>Bourgeois forest","112","24990","22008",NA,NA,NA
"1980","St. Gallen",">>Other public forest","117","4643","4214",NA,NA,NA
"1980","Graubünden / Grigioni / Grischun","Type of owners - Total","10207","174472","138123","609920","59940","669860"
"1980","Graubünden / Grigioni / Grischun","Private forest","9946","14374","14374","34775","2490","37265"
"1980","Graubünden / Grigioni / Grischun","Public forest","261","160098","123749","575145","57450","632595"
"1980","Graubünden / Grigioni / Grischun",">>Federal forest","1","224","46",NA,NA,NA
"1980","Graubünden / Grigioni / Grischun",">>Cantonal forest","1","840","583",NA,NA,NA
"1980","Graubünden / Grigioni / Grischun",">>Municipality forest","225","154050","119050",NA,NA,NA
"1980","Graubünden / Grigioni / Grischun",">>Bourgeois forest","0","0","0",NA,NA,NA
"1980","Graubünden / Grigioni / Grischun",">>Other public forest","34","4984","4070",NA,NA,NA
"1980","Thurgau","Type of owners - Total","8757","18774","18646","269966","139410","409376"
"1980","Thurgau","Private forest","8664","10250","10250","146764","58226","204990"
"1980","Thurgau","Public forest","93","8524","8396","123202","81184","204386"
"1980","Thurgau",">>Federal forest","1","191","126",NA,NA,NA
"1980","Thurgau",">>Cantonal forest","1","1417","1407",NA,NA,NA
"1980","Thurgau",">>Municipality forest","0","0","0",NA,NA,NA
"1980","Thurgau",">>Bourgeois forest","79","6017","5965",NA,NA,NA
"1980","Thurgau",">>Other public forest","12","899","898",NA,NA,NA
"1981","Glarus","Type of owners - Total","1456","16316","14177","94190","12030","106220"
"1981","Glarus","Private forest","1418","1646","1646","2520","0","2520"
"1981","Glarus","Public forest","38","14670","12531","91670","12030","103700"
"1981","Glarus",">>Federal forest","1","131","93",NA,NA,NA
"1981","Glarus",">>Cantonal forest","1","86","80",NA,NA,NA
"1981","Glarus",">>Municipality forest","1","54","48",NA,NA,NA
"1981","Glarus",">>Bourgeois forest","31","14171","12090",NA,NA,NA
"1981","Glarus",">>Other public forest","4","228","220",NA,NA,NA
"1981","Schaffhausen","Type of owners - Total","2133","12571","12387","195340","48090","243430"
"1981","Schaffhausen","Private forest","2101","1968","1968","28500","3580","32080"
"1981","Schaffhausen","Public forest","32","10603","10419","166840","44510","211350"
"1981","Schaffhausen",">>Federal forest","0","0","0",NA,NA,NA
"1981","Schaffhausen",">>Cantonal forest","1","2146","2088",NA,NA,NA
"1981","Schaffhausen",">>Municipality forest","30","8449","8323",NA,NA,NA
"1981","Schaffhausen",">>Bourgeois forest","0","0","0",NA,NA,NA
"1981","Schaffhausen",">>Other public forest","1","8","8",NA,NA,NA
"1981","Appenzell Ausserrhoden","Type of owners - Total","4045","5925","5898","60080","5890","65970"
"1981","Appenzell Ausserrhoden","Private forest","4021","4462","4462","47155","3740","50895"
"1981","Appenzell Ausserrhoden","Public forest","24","1463","1436","12925","2150","15075"
