"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"2013";"Central Plain";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"2013";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"2013";"Central Plain";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"2013";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"2013";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"2013";"Central Plain";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"2013";"Central Plain";"St. Gallen";"Type of owners - Total";"Species - Total";34686
"2013";"Central Plain";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";28664
"2013";"Central Plain";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";6022
"2013";"Central Plain";"St. Gallen";"Private forest";"Species - Total";16050
"2013";"Central Plain";"St. Gallen";"Private forest";"Hardwood (deciduous)";12553
"2013";"Central Plain";"St. Gallen";"Private forest";"Softwood (conifers)";3497
"2013";"Central Plain";"St. Gallen";"Public forest";"Species - Total";18636
"2013";"Central Plain";"St. Gallen";"Public forest";"Hardwood (deciduous)";16111
"2013";"Central Plain";"St. Gallen";"Public forest";"Softwood (conifers)";2525
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"2013";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"2013";"Central Plain";"Thurgau";"Type of owners - Total";"Species - Total";78884
"2013";"Central Plain";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";40745
"2013";"Central Plain";"Thurgau";"Type of owners - Total";"Softwood (conifers)";38139
"2013";"Central Plain";"Thurgau";"Private forest";"Species - Total";1315
"2013";"Central Plain";"Thurgau";"Private forest";"Hardwood (deciduous)";575
"2013";"Central Plain";"Thurgau";"Private forest";"Softwood (conifers)";740
"2013";"Central Plain";"Thurgau";"Public forest";"Species - Total";77569
"2013";"Central Plain";"Thurgau";"Public forest";"Hardwood (deciduous)";40170
"2013";"Central Plain";"Thurgau";"Public forest";"Softwood (conifers)";37399
"2013";"Prealps";"Glarus";"Type of owners - Total";"Species - Total";0
"2013";"Prealps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Prealps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Prealps";"Glarus";"Private forest";"Species - Total";0
"2013";"Prealps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Glarus";"Private forest";"Softwood (conifers)";0
"2013";"Prealps";"Glarus";"Public forest";"Species - Total";0
"2013";"Prealps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Glarus";"Public forest";"Softwood (conifers)";0
"2013";"Prealps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"2013";"Prealps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Prealps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Prealps";"Schaffhausen";"Private forest";"Species - Total";0
"2013";"Prealps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"2013";"Prealps";"Schaffhausen";"Public forest";"Species - Total";0
"2013";"Prealps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"2013";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";2830
"2013";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";2520
"2013";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";310
"2013";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";1289
"2013";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";1210
"2013";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";79
"2013";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";1542
"2013";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";1310
"2013";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";232
"2013";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";1938
"2013";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";1817
"2013";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";121
"2013";"Prealps";"Appenzell Innerrhoden";"Private forest";"Species - Total";1226
"2013";"Prealps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";1167
"2013";"Prealps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";59
"2013";"Prealps";"Appenzell Innerrhoden";"Public forest";"Species - Total";712
"2013";"Prealps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";650
"2013";"Prealps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";62
"2013";"Prealps";"St. Gallen";"Type of owners - Total";"Species - Total";26933
"2013";"Prealps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";20753
"2013";"Prealps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";6180
"2013";"Prealps";"St. Gallen";"Private forest";"Species - Total";7055
"2013";"Prealps";"St. Gallen";"Private forest";"Hardwood (deciduous)";5900
"2013";"Prealps";"St. Gallen";"Private forest";"Softwood (conifers)";1155
"2013";"Prealps";"St. Gallen";"Public forest";"Species - Total";19878
"2013";"Prealps";"St. Gallen";"Public forest";"Hardwood (deciduous)";14853
"2013";"Prealps";"St. Gallen";"Public forest";"Softwood (conifers)";5025
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"2013";"Prealps";"Thurgau";"Type of owners - Total";"Species - Total";0
"2013";"Prealps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Prealps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Prealps";"Thurgau";"Private forest";"Species - Total";0
"2013";"Prealps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Thurgau";"Private forest";"Softwood (conifers)";0
"2013";"Prealps";"Thurgau";"Public forest";"Species - Total";0
"2013";"Prealps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"2013";"Prealps";"Thurgau";"Public forest";"Softwood (conifers)";0
"2013";"Alps";"Glarus";"Type of owners - Total";"Species - Total";8725
"2013";"Alps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";4153
"2013";"Alps";"Glarus";"Type of owners - Total";"Softwood (conifers)";4572
"2013";"Alps";"Glarus";"Private forest";"Species - Total";5
"2013";"Alps";"Glarus";"Private forest";"Hardwood (deciduous)";3
"2013";"Alps";"Glarus";"Private forest";"Softwood (conifers)";2
"2013";"Alps";"Glarus";"Public forest";"Species - Total";8720
"2013";"Alps";"Glarus";"Public forest";"Hardwood (deciduous)";4150
"2013";"Alps";"Glarus";"Public forest";"Softwood (conifers)";4570
"2013";"Alps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"2013";"Alps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Alps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Alps";"Schaffhausen";"Private forest";"Species - Total";0
"2013";"Alps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"2013";"Alps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"2013";"Alps";"Schaffhausen";"Public forest";"Species - Total";0
"2013";"Alps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"2013";"Alps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"2013";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"2013";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Alps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"2013";"Alps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"2013";"Alps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"2013";"Alps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"2013";"Alps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"2013";"Alps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"2013";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"2013";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"2013";"Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"2013";"Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"2013";"Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"2013";"Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"2013";"Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"2013";"Alps";"St. Gallen";"Type of owners - Total";"Species - Total";11095
"2013";"Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";10506
"2013";"Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";589
"2013";"Alps";"St. Gallen";"Private forest";"Species - Total";275
"2013";"Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";225
"2013";"Alps";"St. Gallen";"Private forest";"Softwood (conifers)";50
"2013";"Alps";"St. Gallen";"Public forest";"Species - Total";10820
"2013";"Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";10281
"2013";"Alps";"St. Gallen";"Public forest";"Softwood (conifers)";539
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";74429
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";47826
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";26603
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";2365
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";1200
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";1165
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";72064
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";46626
"2013";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";25438
"2013";"Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"2013";"Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Alps";"Thurgau";"Private forest";"Species - Total";0
"2013";"Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"2013";"Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
"2013";"Alps";"Thurgau";"Public forest";"Species - Total";0
"2013";"Alps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"2013";"Alps";"Thurgau";"Public forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Glarus";"Type of owners - Total";"Species - Total";0
"2013";"Southern Alps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Southern Alps";"Glarus";"Private forest";"Species - Total";0
"2013";"Southern Alps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Glarus";"Private forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Glarus";"Public forest";"Species - Total";0
"2013";"Southern Alps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Glarus";"Public forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"2013";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Southern Alps";"Schaffhausen";"Private forest";"Species - Total";0
"2013";"Southern Alps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Schaffhausen";"Public forest";"Species - Total";0
"2013";"Southern Alps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"2013";"Southern Alps";"St. Gallen";"Type of owners - Total";"Species - Total";0
"2013";"Southern Alps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Southern Alps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Southern Alps";"St. Gallen";"Private forest";"Species - Total";0
"2013";"Southern Alps";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"St. Gallen";"Private forest";"Softwood (conifers)";0
"2013";"Southern Alps";"St. Gallen";"Public forest";"Species - Total";0
"2013";"Southern Alps";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"St. Gallen";"Public forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";2319
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";1930
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";389
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";9
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";9
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";2310
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";1930
"2013";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";380
"2013";"Southern Alps";"Thurgau";"Type of owners - Total";"Species - Total";0
"2013";"Southern Alps";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Thurgau";"Type of owners - Total";"Softwood (conifers)";0
"2013";"Southern Alps";"Thurgau";"Private forest";"Species - Total";0
"2013";"Southern Alps";"Thurgau";"Private forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Thurgau";"Private forest";"Softwood (conifers)";0
"2013";"Southern Alps";"Thurgau";"Public forest";"Species - Total";0
"2013";"Southern Alps";"Thurgau";"Public forest";"Hardwood (deciduous)";0
"2013";"Southern Alps";"Thurgau";"Public forest";"Softwood (conifers)";0
"2014";"Switzerland";"Glarus";"Type of owners - Total";"Species - Total";7050
"2014";"Switzerland";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";2020
"2014";"Switzerland";"Glarus";"Type of owners - Total";"Softwood (conifers)";5030
"2014";"Switzerland";"Glarus";"Private forest";"Species - Total";0
"2014";"Switzerland";"Glarus";"Private forest";"Hardwood (deciduous)";0
"2014";"Switzerland";"Glarus";"Private forest";"Softwood (conifers)";0
"2014";"Switzerland";"Glarus";"Public forest";"Species - Total";7050
"2014";"Switzerland";"Glarus";"Public forest";"Hardwood (deciduous)";2020
"2014";"Switzerland";"Glarus";"Public forest";"Softwood (conifers)";5030
"2014";"Switzerland";"Schaffhausen";"Type of owners - Total";"Species - Total";17434
"2014";"Switzerland";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";14932
"2014";"Switzerland";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";2502
"2014";"Switzerland";"Schaffhausen";"Private forest";"Species - Total";590
"2014";"Switzerland";"Schaffhausen";"Private forest";"Hardwood (deciduous)";410
"2014";"Switzerland";"Schaffhausen";"Private forest";"Softwood (conifers)";180
"2014";"Switzerland";"Schaffhausen";"Public forest";"Species - Total";16844
"2014";"Switzerland";"Schaffhausen";"Public forest";"Hardwood (deciduous)";14522
"2014";"Switzerland";"Schaffhausen";"Public forest";"Softwood (conifers)";2322
"2014";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";2110
"2014";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";1563
"2014";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";547
"2014";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Species - Total";1675
"2014";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";1224
"2014";"Switzerland";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";451
"2014";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Species - Total";435
"2014";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";339
"2014";"Switzerland";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";96
"2014";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";2193
"2014";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";1770
"2014";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";423
"2014";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Species - Total";1639
"2014";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";1216
"2014";"Switzerland";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";423
"2014";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Species - Total";554
"2014";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";554
"2014";"Switzerland";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"2014";"Switzerland";"St. Gallen";"Type of owners - Total";"Species - Total";83767
"2014";"Switzerland";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";63395
"2014";"Switzerland";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";20372
"2014";"Switzerland";"St. Gallen";"Private forest";"Species - Total";25048
"2014";"Switzerland";"St. Gallen";"Private forest";"Hardwood (deciduous)";20980
"2014";"Switzerland";"St. Gallen";"Private forest";"Softwood (conifers)";4068
"2014";"Switzerland";"St. Gallen";"Public forest";"Species - Total";58719
"2014";"Switzerland";"St. Gallen";"Public forest";"Hardwood (deciduous)";42415
"2014";"Switzerland";"St. Gallen";"Public forest";"Softwood (conifers)";16304
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";78020
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";48485
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";29535
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";4092
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";100
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Private forest";"Softwood (conifers)";3992
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Species - Total";73928
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";48385
"2014";"Switzerland";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";25543
"2014";"Switzerland";"Thurgau";"Type of owners - Total";"Species - Total";87576
"2014";"Switzerland";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";38124
"2014";"Switzerland";"Thurgau";"Type of owners - Total";"Softwood (conifers)";49452
"2014";"Switzerland";"Thurgau";"Private forest";"Species - Total";1950
"2014";"Switzerland";"Thurgau";"Private forest";"Hardwood (deciduous)";570
"2014";"Switzerland";"Thurgau";"Private forest";"Softwood (conifers)";1380
"2014";"Switzerland";"Thurgau";"Public forest";"Species - Total";85626
"2014";"Switzerland";"Thurgau";"Public forest";"Hardwood (deciduous)";37554
"2014";"Switzerland";"Thurgau";"Public forest";"Softwood (conifers)";48072
"2014";"Jura";"Glarus";"Type of owners - Total";"Species - Total";0
"2014";"Jura";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"2014";"Jura";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"2014";"Jura";"Glarus";"Private forest";"Species - Total";0
"2014";"Jura";"Glarus";"Private forest";"Hardwood (deciduous)";0
"2014";"Jura";"Glarus";"Private forest";"Softwood (conifers)";0
"2014";"Jura";"Glarus";"Public forest";"Species - Total";0
"2014";"Jura";"Glarus";"Public forest";"Hardwood (deciduous)";0
"2014";"Jura";"Glarus";"Public forest";"Softwood (conifers)";0
"2014";"Jura";"Schaffhausen";"Type of owners - Total";"Species - Total";16217
"2014";"Jura";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";14377
"2014";"Jura";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";1840
"2014";"Jura";"Schaffhausen";"Private forest";"Species - Total";560
"2014";"Jura";"Schaffhausen";"Private forest";"Hardwood (deciduous)";390
"2014";"Jura";"Schaffhausen";"Private forest";"Softwood (conifers)";170
"2014";"Jura";"Schaffhausen";"Public forest";"Species - Total";15657
"2014";"Jura";"Schaffhausen";"Public forest";"Hardwood (deciduous)";13987
"2014";"Jura";"Schaffhausen";"Public forest";"Softwood (conifers)";1670
"2014";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";0
"2014";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"2014";"Jura";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";0
"2014";"Jura";"Appenzell Ausserrhoden";"Private forest";"Species - Total";0
"2014";"Jura";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";0
"2014";"Jura";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";0
"2014";"Jura";"Appenzell Ausserrhoden";"Public forest";"Species - Total";0
"2014";"Jura";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";0
"2014";"Jura";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";0
"2014";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";0
"2014";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";0
"2014";"Jura";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";0
"2014";"Jura";"Appenzell Innerrhoden";"Private forest";"Species - Total";0
"2014";"Jura";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";0
"2014";"Jura";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";0
"2014";"Jura";"Appenzell Innerrhoden";"Public forest";"Species - Total";0
"2014";"Jura";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";0
"2014";"Jura";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";0
"2014";"Jura";"St. Gallen";"Type of owners - Total";"Species - Total";0
"2014";"Jura";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";0
"2014";"Jura";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";0
"2014";"Jura";"St. Gallen";"Private forest";"Species - Total";0
"2014";"Jura";"St. Gallen";"Private forest";"Hardwood (deciduous)";0
"2014";"Jura";"St. Gallen";"Private forest";"Softwood (conifers)";0
"2014";"Jura";"St. Gallen";"Public forest";"Species - Total";0
"2014";"Jura";"St. Gallen";"Public forest";"Hardwood (deciduous)";0
"2014";"Jura";"St. Gallen";"Public forest";"Softwood (conifers)";0
"2014";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
"2014";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Hardwood (deciduous)";0
"2014";"Jura";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Softwood (conifers)";0
"2014";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Species - Total";0
"2014";"Jura";"Graubünden / Grigioni / Grischun";"Private forest";"Hardwood (deciduous)";0
