"Number of plantations in Swiss forest"

"Year";"Forest zone";"Canton";"Type of owner";"Wood species";"Number of plantations"
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Hardwood (deciduous)";0
"1975";"Central Plain";"Graubünden / Grigioni / Grischun";"Public forest";"Softwood (conifers)";0
"1975";"Central Plain";"Thurgau";"Type of owners - Total";"Species - Total";553095
"1975";"Central Plain";"Thurgau";"Type of owners - Total";"Hardwood (deciduous)";455301
"1975";"Central Plain";"Thurgau";"Type of owners - Total";"Softwood (conifers)";97794
"1975";"Central Plain";"Thurgau";"Private forest";"Species - Total";340895
"1975";"Central Plain";"Thurgau";"Private forest";"Hardwood (deciduous)";297100
"1975";"Central Plain";"Thurgau";"Private forest";"Softwood (conifers)";43795
"1975";"Central Plain";"Thurgau";"Public forest";"Species - Total";212200
"1975";"Central Plain";"Thurgau";"Public forest";"Hardwood (deciduous)";158201
"1975";"Central Plain";"Thurgau";"Public forest";"Softwood (conifers)";53999
"1975";"Prealps";"Glarus";"Type of owners - Total";"Species - Total";0
"1975";"Prealps";"Glarus";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Prealps";"Glarus";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Prealps";"Glarus";"Private forest";"Species - Total";0
"1975";"Prealps";"Glarus";"Private forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Glarus";"Private forest";"Softwood (conifers)";0
"1975";"Prealps";"Glarus";"Public forest";"Species - Total";0
"1975";"Prealps";"Glarus";"Public forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Glarus";"Public forest";"Softwood (conifers)";0
"1975";"Prealps";"Schaffhausen";"Type of owners - Total";"Species - Total";0
"1975";"Prealps";"Schaffhausen";"Type of owners - Total";"Hardwood (deciduous)";0
"1975";"Prealps";"Schaffhausen";"Type of owners - Total";"Softwood (conifers)";0
"1975";"Prealps";"Schaffhausen";"Private forest";"Species - Total";0
"1975";"Prealps";"Schaffhausen";"Private forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Schaffhausen";"Private forest";"Softwood (conifers)";0
"1975";"Prealps";"Schaffhausen";"Public forest";"Species - Total";0
"1975";"Prealps";"Schaffhausen";"Public forest";"Hardwood (deciduous)";0
"1975";"Prealps";"Schaffhausen";"Public forest";"Softwood (conifers)";0
"1975";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Species - Total";78556
"1975";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Hardwood (deciduous)";64341
"1975";"Prealps";"Appenzell Ausserrhoden";"Type of owners - Total";"Softwood (conifers)";14215
"1975";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Species - Total";51521
"1975";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Hardwood (deciduous)";44666
"1975";"Prealps";"Appenzell Ausserrhoden";"Private forest";"Softwood (conifers)";6855
"1975";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Species - Total";27035
"1975";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Hardwood (deciduous)";19675
"1975";"Prealps";"Appenzell Ausserrhoden";"Public forest";"Softwood (conifers)";7360
"1975";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Species - Total";43755
"1975";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Hardwood (deciduous)";42415
"1975";"Prealps";"Appenzell Innerrhoden";"Type of owners - Total";"Softwood (conifers)";1340
"1975";"Prealps";"Appenzell Innerrhoden";"Private forest";"Species - Total";27280
"1975";"Prealps";"Appenzell Innerrhoden";"Private forest";"Hardwood (deciduous)";26490
"1975";"Prealps";"Appenzell Innerrhoden";"Private forest";"Softwood (conifers)";790
"1975";"Prealps";"Appenzell Innerrhoden";"Public forest";"Species - Total";16475
"1975";"Prealps";"Appenzell Innerrhoden";"Public forest";"Hardwood (deciduous)";15925
"1975";"Prealps";"Appenzell Innerrhoden";"Public forest";"Softwood (conifers)";550
"1975";"Prealps";"St. Gallen";"Type of owners - Total";"Species - Total";330737
"1975";"Prealps";"St. Gallen";"Type of owners - Total";"Hardwood (deciduous)";293175
"1975";"Prealps";"St. Gallen";"Type of owners - Total";"Softwood (conifers)";37562
"1975";"Prealps";"St. Gallen";"Private forest";"Species - Total";95662
"1975";"Prealps";"St. Gallen";"Private forest";"Hardwood (deciduous)";85345
"1975";"Prealps";"St. Gallen";"Private forest";"Softwood (conifers)";10317
"1975";"Prealps";"St. Gallen";"Public forest";"Species - Total";235075
"1975";"Prealps";"St. Gallen";"Public forest";"Hardwood (deciduous)";207830
"1975";"Prealps";"St. Gallen";"Public forest";"Softwood (conifers)";27245
"1975";"Prealps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";"Species - Total";0
