"Forest area in Switzerland, in ha"

"Year";"Forest zone";"Canton";"Type of owner";"Forest owners number";"Total forest area";"Productive forest area"
"1975";"Alps";"Glarus";">>Other public forest";4;226;220
"1975";"Alps";"Schaffhausen";"Type of owners - Total";0;0;0
"1975";"Alps";"Schaffhausen";"Private forest";0;0;0
"1975";"Alps";"Schaffhausen";"Public forest";0;0;0
"1975";"Alps";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Alps";"Schaffhausen";">>Cantonal forest";0;0;0
"1975";"Alps";"Schaffhausen";">>Municipality forest";0;0;0
"1975";"Alps";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Alps";"Schaffhausen";">>Other public forest";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";"Type of owners - Total";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";"Private forest";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";"Public forest";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";">>Federal forest";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";">>Cantonal forest";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";">>Municipality forest";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Alps";"Appenzell Ausserrhoden";">>Other public forest";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";"Type of owners - Total";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";"Private forest";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";"Public forest";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";">>Cantonal forest";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Alps";"Appenzell Innerrhoden";">>Other public forest";0;0;0
"1975";"Alps";"St. Gallen";"Type of owners - Total";1704;14218;11939
"1975";"Alps";"St. Gallen";"Private forest";1675;2543;2543
"1975";"Alps";"St. Gallen";"Public forest";29;11675;9396
"1975";"Alps";"St. Gallen";">>Federal forest";1;48;44
"1975";"Alps";"St. Gallen";">>Cantonal forest";1;621;465
"1975";"Alps";"St. Gallen";">>Municipality forest";3;80;67
"1975";"Alps";"St. Gallen";">>Bourgeois forest";22;10723;8708
"1975";"Alps";"St. Gallen";">>Other public forest";2;203;112
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";7794;146262;115152
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Private forest";7561;12137;12137
"1975";"Alps";"Graubünden / Grigioni / Grischun";"Public forest";233;134125;103015
"1975";"Alps";"Graubünden / Grigioni / Grischun";">>Federal forest";1;214;36
"1975";"Alps";"Graubünden / Grigioni / Grischun";">>Cantonal forest";1;778;533
"1975";"Alps";"Graubünden / Grigioni / Grischun";">>Municipality forest";208;129116;99210
"1975";"Alps";"Graubünden / Grigioni / Grischun";">>Bourgeois forest";0;0;0
"1975";"Alps";"Graubünden / Grigioni / Grischun";">>Other public forest";23;4017;3236
"1975";"Alps";"Thurgau";"Type of owners - Total";0;0;0
"1975";"Alps";"Thurgau";"Private forest";0;0;0
"1975";"Alps";"Thurgau";"Public forest";0;0;0
"1975";"Alps";"Thurgau";">>Federal forest";0;0;0
"1975";"Alps";"Thurgau";">>Cantonal forest";0;0;0
"1975";"Alps";"Thurgau";">>Municipality forest";0;0;0
"1975";"Alps";"Thurgau";">>Bourgeois forest";0;0;0
"1975";"Alps";"Thurgau";">>Other public forest";0;0;0
"1975";"Southern Alps";"Glarus";"Type of owners - Total";0;0;0
"1975";"Southern Alps";"Glarus";"Private forest";0;0;0
"1975";"Southern Alps";"Glarus";"Public forest";0;0;0
"1975";"Southern Alps";"Glarus";">>Federal forest";0;0;0
"1975";"Southern Alps";"Glarus";">>Cantonal forest";0;0;0
"1975";"Southern Alps";"Glarus";">>Municipality forest";0;0;0
"1975";"Southern Alps";"Glarus";">>Bourgeois forest";0;0;0
"1975";"Southern Alps";"Glarus";">>Other public forest";0;0;0
"1975";"Southern Alps";"Schaffhausen";"Type of owners - Total";0;0;0
"1975";"Southern Alps";"Schaffhausen";"Private forest";0;0;0
"1975";"Southern Alps";"Schaffhausen";"Public forest";0;0;0
"1975";"Southern Alps";"Schaffhausen";">>Federal forest";0;0;0
"1975";"Southern Alps";"Schaffhausen";">>Cantonal forest";0;0;0
"1975";"Southern Alps";"Schaffhausen";">>Municipality forest";0;0;0
"1975";"Southern Alps";"Schaffhausen";">>Bourgeois forest";0;0;0
"1975";"Southern Alps";"Schaffhausen";">>Other public forest";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Type of owners - Total";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Private forest";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";"Public forest";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";">>Federal forest";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";">>Cantonal forest";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";">>Municipality forest";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1975";"Southern Alps";"Appenzell Ausserrhoden";">>Other public forest";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Type of owners - Total";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Private forest";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";"Public forest";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";">>Cantonal forest";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1975";"Southern Alps";"Appenzell Innerrhoden";">>Other public forest";0;0;0
"1975";"Southern Alps";"St. Gallen";"Type of owners - Total";0;0;0
"1975";"Southern Alps";"St. Gallen";"Private forest";0;0;0
"1975";"Southern Alps";"St. Gallen";"Public forest";0;0;0
"1975";"Southern Alps";"St. Gallen";">>Federal forest";0;0;0
"1975";"Southern Alps";"St. Gallen";">>Cantonal forest";0;0;0
"1975";"Southern Alps";"St. Gallen";">>Municipality forest";0;0;0
"1975";"Southern Alps";"St. Gallen";">>Bourgeois forest";0;0;0
"1975";"Southern Alps";"St. Gallen";">>Other public forest";0;0;0
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Type of owners - Total";1975;23768;19500
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Private forest";1941;2085;2085
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";"Public forest";34;21683;17415
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";">>Federal forest";0;0;0
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";">>Cantonal forest";0;0;0
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";">>Municipality forest";23;20823;16675
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";">>Bourgeois forest";0;0;0
"1975";"Southern Alps";"Graubünden / Grigioni / Grischun";">>Other public forest";11;860;740
"1975";"Southern Alps";"Thurgau";"Type of owners - Total";0;0;0
"1975";"Southern Alps";"Thurgau";"Private forest";0;0;0
"1975";"Southern Alps";"Thurgau";"Public forest";0;0;0
"1975";"Southern Alps";"Thurgau";">>Federal forest";0;0;0
"1975";"Southern Alps";"Thurgau";">>Cantonal forest";0;0;0
"1975";"Southern Alps";"Thurgau";">>Municipality forest";0;0;0
"1975";"Southern Alps";"Thurgau";">>Bourgeois forest";0;0;0
"1975";"Southern Alps";"Thurgau";">>Other public forest";0;0;0
"1976";"Switzerland";"Glarus";"Type of owners - Total";1458;16492;14268
"1976";"Switzerland";"Glarus";"Private forest";1420;1654;1654
"1976";"Switzerland";"Glarus";"Public forest";38;14838;12614
"1976";"Switzerland";"Glarus";">>Federal forest";1;109;99
"1976";"Switzerland";"Glarus";">>Cantonal forest";1;84;78
"1976";"Switzerland";"Glarus";">>Municipality forest";1;54;48
"1976";"Switzerland";"Glarus";">>Bourgeois forest";31;14365;12169
"1976";"Switzerland";"Glarus";">>Other public forest";4;226;220
"1976";"Switzerland";"Schaffhausen";"Type of owners - Total";1998;12500;12326
"1976";"Switzerland";"Schaffhausen";"Private forest";1966;1907;1907
"1976";"Switzerland";"Schaffhausen";"Public forest";32;10593;10419
"1976";"Switzerland";"Schaffhausen";">>Federal forest";0;0;0
"1976";"Switzerland";"Schaffhausen";">>Cantonal forest";1;2142;2090
"1976";"Switzerland";"Schaffhausen";">>Municipality forest";30;8443;8321
"1976";"Switzerland";"Schaffhausen";">>Bourgeois forest";0;0;0
"1976";"Switzerland";"Schaffhausen";">>Other public forest";1;8;8
"1976";"Switzerland";"Appenzell Ausserrhoden";"Type of owners - Total";4141;6357;6332
"1976";"Switzerland";"Appenzell Ausserrhoden";"Private forest";4116;4962;4962
"1976";"Switzerland";"Appenzell Ausserrhoden";"Public forest";25;1395;1370
"1976";"Switzerland";"Appenzell Ausserrhoden";">>Federal forest";1;163;163
"1976";"Switzerland";"Appenzell Ausserrhoden";">>Cantonal forest";1;274;253
"1976";"Switzerland";"Appenzell Ausserrhoden";">>Municipality forest";21;945;941
"1976";"Switzerland";"Appenzell Ausserrhoden";">>Bourgeois forest";0;0;0
"1976";"Switzerland";"Appenzell Ausserrhoden";">>Other public forest";2;13;13
"1976";"Switzerland";"Appenzell Innerrhoden";"Type of owners - Total";1687;5004;4510
"1976";"Switzerland";"Appenzell Innerrhoden";"Private forest";1663;3099;3099
"1976";"Switzerland";"Appenzell Innerrhoden";"Public forest";24;1905;1411
"1976";"Switzerland";"Appenzell Innerrhoden";">>Federal forest";0;0;0
"1976";"Switzerland";"Appenzell Innerrhoden";">>Cantonal forest";1;133;111
"1976";"Switzerland";"Appenzell Innerrhoden";">>Municipality forest";0;0;0
"1976";"Switzerland";"Appenzell Innerrhoden";">>Bourgeois forest";0;0;0
"1976";"Switzerland";"Appenzell Innerrhoden";">>Other public forest";23;1772;1300
"1976";"Switzerland";"St. Gallen";"Type of owners - Total";14383;50318;46635
"1976";"Switzerland";"St. Gallen";"Private forest";14123;18273;18273
"1976";"Switzerland";"St. Gallen";"Public forest";260;32045;28362
"1976";"Switzerland";"St. Gallen";">>Federal forest";1;52;48
"1976";"Switzerland";"St. Gallen";">>Cantonal forest";1;1986;1762
"1976";"Switzerland";"St. Gallen";">>Municipality forest";29;425;407
"1976";"Switzerland";"St. Gallen";">>Bourgeois forest";111;24917;21912
"1976";"Switzerland";"St. Gallen";">>Other public forest";118;4665;4233
